account_name,account_id
zachxbt,3012852462
punk6529,1388487332093997057
StaniKulechov,952921795316912133
hasufl,566534886
zhusu,79714172
iamDCinvestor,956670268596015105
twobitidiot,2193616844
aeyakovenko,2327407569
HsakaTrades,944686196331966464
ErikVoorhees,61417559
0xfoobar,1356386110847377408
pmarca,5943622
AndreCronjeTech,905395394
0xPolygon,914738730740715521
Rewkang,1138033434
laurashin,26377478
blknoiz06,973261472
sassal0x,313724502
gakonst,804029200315334656
ASvanevik,42584365
TrustlessState,981208355115974656
gmoneyNFT,1311393885806100481
Optimism,1044836083530452992
loomdart,2603525726
nic__carter,420308365
bantg,108172903
DeeZe,127646057
tier10k,2361601055
Arthur_0x,1357451976
Melt_Dem,2363290915
mdudas,7184612
beeple,34097500
KyleSamani,46332443
inversebrah,1051852534518824960
Darrenlautf,987634087274823680
santiagoroel,737132550
tarunchitra,53836928
mrjasonchoi,174981490
garyvee,5768872
fintechfrank,2933805082
Delphi_Digital,1037045241084342272
jessepollak,18876842
base,1628067904083181570
pythianism,887851445982068737
ercwl,467535591
Cooopahtroopa,305830702
farokh,3369243892
Pentosh1,1138993163706753029
Zeneca,1370479673818427403
DeFi_Dad,991745162274467840
udiWertheimer,14527699
QwQiao,712457848874086400
0xtuba,1240385359055335429
adamscochran,116328126
andy8052,217534944
jackbutcher,52188203
pranksy,2621412174
ljin18,774642558853009408
sandeepnailwal,100798845
econoar,14101591
KeyboardMonkey3,1346599984528023554
mikedemarais,14253911
cmsholdings,1196542741871771648
scott_lew_is,3226266525
XCOPYART,177395566
seedphrase,3005650652
artblocks_io,1317828734913753090
icebergy_,239518063
rajgokal,101833150
MakerDAO,3190865591
josephdelong,228957664
andr3w,4911583324
tomhschmidt,239090734
Fwiz,22784458
intern,1354120919460040711
ChainLinkGod,1035721495
mattyryze,14206218
mattmedved,23687471
justinsuntron,902839045356744704
dcfgod,1350996311777161219
3LAU,196277177
sobylife,1081694326034391041
0x_b1,1330329903225581568
LucaNetz,807982663000674305
Shaughnessy119,2215937899
Blast_L2,1686089393268752384
notthreadguy,1426732252768182281
CathieDWood,2361631088
MoonOverlord,938606626017370112
amytongwu,1388236590049206272
dingalingts,936048782206058496
CryptoDonAlt,878219545785372673
scupytrooples,1012777913299689477
Cryptopathic,2433432126
0xCygaar,1287576585353039872
CoinMarketCap,2260491445
frankdegods,1441835930889818113
ohhshiny,1318987223232999424
DefiantNews,1237544865216507906
rektmando,1357410364355395587
zmanian,7910872
_charlienoyes,895723521153703936
SuperRare,980935731794403328
DuneAnalytics,1039449274344529920
0xMert_,1309886201944473600
krybharat,1372873723653591049
osf_rekt,1366934666201202689
DefiLlama,1321585610654687241
AltcoinPsycho,942999039192186882
BoredElonMusk,1666038950
bneiluj,196519120
nftnow,1353062898419994626
Galois_Capital,862457408773160961
gametheorizing,1081354216843632640
foundation,1232540254457847808
VentureCoinist,877728873340956672
jbrukh,14592709
dfinzer,80211909
ricburton,14285961
