account_name,account_id
BorednHungry,1496572795865604097
laine_sa_,1470346650166206470
Amxx,17896616
stonercatstv,1362121932531855362
SphereSXS,1374187417003945990
jspujji,14879002
Chiliz,2590633042
mikevanrossum,186000217
EdwardAMoncada,322257836
CRE8RDAO,1410851902279983111
WatanabeSota,3096997813
faryarshirzad,359126146
FelixOHartmann,2941661081
Paxos,3389763521
Cdempsey44,936843971321405441
HMan3777,1852884822
yoitsyoung,1226852592073854976
NathanSexer,569478101
ora_nge24,46308843
RealHxroLabs,1032010176491122689
_calmdonut,1224947693773979648
powerpoolcvp,1291845815871381505
coin98_wallet,974473136983891968
Crypto_Briefing,911716127365042177
radixdlt,2263270123
alterlier3,1296164116806152197
primalpoly,3656836876
BitMartExchange,937166242208763904
GuildFiGlobal,1426134930774364169
FrancisBApela,1400869040764047366
Dolomite_io,990716955236749312
katelin_cruse,23473442
wallstmemes,1180622595923820544
0xLightcycle,1361153812807884807
FrontierDotXYZ,1181559690599129094
LeahWald,2881422017
KaikoData,2826522223
samoyedcoin,1384520091396673537
BosonProtocol,1193497953933152256
leah_cb,2418223339
youssef_amrani,24403688
hackenclub,898528774303735808
cartesiproject,976072413770207232
brianmcmichael,16333384
OrderlyNetwork,1483715378261815298
azuroprotocol,1402211427717455873
dapplion,973145016511139841
THORSwap,1371793093247258626
BlockdaemonHQ,897279210099589120
beniaminmincu,1392307531
0x_d24,442051655
dntse,2162542329
bsc_daily,1358688239037546500
arisatoyo,556862708
cryptoPothu,1363569088241434627
LBRYcom,2863324024
QuintenFrancois,899748062507278336
VirtuaMetaverse,960068923759751168
wavesprotocol,707515829798182912
joshfraser,6508432
0xkapital_k,745789062888382464
SolvProtocol,1370632070926536704
qtum,773009781644677120
bascule,6083342
ForjOfficial,1299126899118145538
deantak,14137885
kinaumov,1150131603034820608
0xGasDAO,1475899417538482177
fonship,789205988259704832
loomnetwork,912949947397439488
digitalmustafa,1283584245009506304
LenklaH,1379130169
thedhkt,788982014
AnitaRamaswamy,792796156963147776
travalacom,961827567740239872
hardhathen,937445353841930240
chia_project,956333277744218113
BitgetWallet,1040124936843550720
Allbridge_io,1405574350720454656
dj_d_sol,1325722980689846272
bakery_swap,1302174189516763136
TheTNetwork,1410369935952551937
mounibec,20853039
hugomofn,559284142
OntologyNetwork,922358568602365953
SunnyAggregator,1366493604240326656
akropolisio,935139646224371712
ethnimbus,1101033576454340608
Opium_Network,1119216582511726592
robbylevy,18370911
nanimalisimo,945756859499253760
WeAreTellor,1113767494177755136
BFATHIEH,2394934447
HifiFinance,1398122942
_dwasse,393716211
zengjiajun_eth,1162798396756807680
B0TTLE_R0CKET,552157097
ahcastor,767122751110975488
SevenXVentures,1332213003559661569
Corpetty,885752624
Zebec_HQ,1435632291837976580
Conflux_Network,1082011146117439491
camila_artwork,3073393115
VulcanForged,1261684151780081664
Tushar307,132618940
zkLink_Official,1389853516118716417
EthernityChain,1314071380153921536
0x_illuminati,1521397605875519488
kyoronut,992667970609410050
elpizoch,256153997
kate_rouch,2462442644
fascinated,5803082
bitcoin4bernie,3183848149
BuildOnLumia,970372386339147776
_hummingbot,1017084613326323712
Theta_Network,918994376105197568
klaytn_official,1016987310221455360
ledger_prime,1047546837312389120
GunzillaGames,1290286261832495109
jose34730,180976017
chizhao,179173950
Riijo,480645810
RezBrandon,947092255
odosprotocol,1478572233085779970
compass_mining,1072307787894419456
GatheringGwei,1066495774899474432
wmitsuda,1212271747543601153
